scenario,district_name,baseline_yield,delta_yield,projected_yield,pct_change
SSP2-4.5 (2030),Dinajpur,4.082,0.0401,4.122,0.98
SSP2-4.5 (2030),Faridpur,4.305,0.0401,4.345,0.93
SSP2-4.5 (2030),Feni,3.575,0.0401,3.615,1.12
SSP2-4.5 (2030),Gaibandha,3.926,0.0401,3.967,1.02
SSP2-4.5 (2030),Gazipur,4.146,0.0401,4.187,0.97
SSP2-4.5 (2030),Gopalganj,4.92,0.0401,4.96,0.82
SSP2-4.5 (2030),Habiganj,3.655,0.0401,3.695,1.1
SSP2-4.5 (2030),Jamalpur,4.05,0.0401,4.09,0.99
SSP2-4.5 (2030),Jashore,4.456,0.0401,4.496,0.9
SSP2-4.5 (2030),Jhalokati,3.777,0.0401,3.817,1.06
SSP2-4.5 (2030),Jhenaidah,4.367,0.0401,4.407,0.92
SSP2-4.5 (2030),Joypurhat,4.026,0.0401,4.067,1.0
SSP2-4.5 (2030),Khagrachhari,3.593,0.0401,3.633,1.12
SSP2-4.5 (2030),Khulna,4.119,0.0401,4.159,0.97
SSP2-4.5 (2030),Kishoreganj,4.242,0.0401,4.282,0.95
SSP2-4.5 (2030),Kurigram,4.15,0.0401,4.19,0.97
SSP2-4.5 (2030),Kushtia,4.077,0.0401,4.117,0.98
SSP2-4.5 (2030),Lakshmipur,3.915,0.0401,3.955,1.02
SSP2-4.5 (2030),Lalmonirhat,4.047,0.0401,4.087,0.99
SSP2-4.5 (2030),Madaripur,4.353,0.0401,4.393,0.92
SSP2-4.5 (2030),Magura,3.897,0.0401,3.937,1.03
SSP2-4.5 (2030),Manikganj,4.63,0.0401,4.67,0.87
SSP2-4.5 (2030),Meherpur,3.973,0.0401,4.013,1.01
SSP2-4.5 (2030),Moulvibazar,3.618,0.0401,3.658,1.11
SSP2-4.5 (2030),Munshiganj,4.227,0.0401,4.267,0.95
SSP2-4.5 (2030),Mymensingh,4.03,0.0401,4.07,1.0
SSP2-4.5 (2030),Naogaon,4.307,0.0401,4.347,0.93
SSP2-4.5 (2030),Narail,4.323,0.0401,4.363,0.93
SSP2-4.5 (2030),Narayanganj,4.009,0.0401,4.049,1.0
SSP2-4.5 (2030),Narsingdi,3.845,0.0401,3.885,1.04
SSP2-4.5 (2030),Natore,4.467,0.0401,4.507,0.9
SSP2-4.5 (2030),Nilphamari,4.284,0.0401,4.324,0.94
SSP2-4.5 (2030),Noakhali,4.712,0.0401,4.752,0.85
SSP2-4.5 (2030),Pabna,4.069,0.0401,4.109,0.99
SSP2-4.5 (2030),Panchagarh,4.095,0.0401,4.135,0.98
SSP2-4.5 (2030),Patuakhali,2.654,0.0401,2.694,1.51
SSP2-4.5 (2030),Pirojpur,4.079,0.0401,4.119,0.98
SSP2-4.5 (2030),Rajbari,4.258,0.0401,4.298,0.94
